membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.05 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.05 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.33 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.33 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.25 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.33 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.25 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.05 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.52 GB/s (4 thr, write)
membw: 19.32 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.05 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
membw: 18.79 GB/s (4 thr, write)
membw: 19.06 GB/s (4 thr, write)
